numeric__Age,numeric__Salary,numeric__Experience,categorical__City_Bangalore,categorical__City_Chennai,categorical__City_Delhi,categorical__City_Mumbai
-1.633316879404842,-1.421308863096412,-1.357241785076592,1.0,0.0,0.0,0.0
-1.351710520886766,-1.1945042572831548,-0.9694584179118515,0.0,1.0,0.0,0.0
-0.9293009831096517,-1.0433011867409832,-0.9694584179118515,1.0,0.0,0.0,0.0
0.05632127170361504,-0.6652935103855545,-0.5816750507471109,0.0,0.0,0.0,1.0
-0.22528508681446116,0.09072184232530289,-0.1938916835823703,0.0,0.0,1.0,0.0
0.05632127170361504,0.09072184232530289,0.1938916835823703,0.0,1.0,0.0,0.0
0.4787308094807293,0.4687295186807316,-0.1938916835823703,1.0,0.0,0.0,0.0
0.9011403472578436,0.8467371950361603,0.9694584179118515,1.0,0.0,0.0,0.0
1.1827467057759198,1.224744871391589,1.357241785076592,0.0,0.0,1.0,0.0
1.464353064293996,1.6027525477470177,1.7450251522413327,0.0,0.0,0.0,1.0
